Clock type: CPU
Ordered by: ttot, desc

name                                  ncall  tsub      ttot      tavg
..tream.py:133 _StreamBuffer.__len__  4081   0.002664  0.002664  0.000001
../python3.10/tempfile.py:1 <module>  1      0.000019  0.002625  0.002625
..iostream.py:162 _StreamBuffer.peek  1024   0.002404  0.002404  0.000002
..:284 HTTPServer._handle_connection  16     0.000105  0.002377  0.000149
..ado/iostream.py:565 IOStream.close  15     0.000164  0.002279  0.000152
..portlib._bootstrap>:921 _find_spec  17     0.000181  0.002230  0.000131
..ttputil.py:223 HTTPHeaders.__len__  1025   0.001550  0.002204  0.000002
..s/tornado/iostream.py:541 <lambda>  1024   0.001555  0.002185  0.000002
..kages/tornado/web.py:2326 <lambda>  1024   0.001543  0.002148  0.000002
..ib/python3.10/shutil.py:1 <module>  1      0.000040  0.002003  0.002003
..HTTP1Connection.set_close_callback  2049   0.001973  0.001973  0.000001
..nal>:950 SourceFileLoader.get_code  13     0.000146  0.001952  0.000150
..er.py:223 HTTPServer.handle_stream  16     0.000137  0.001847  0.000115
..taReceiverHandler._request_summary  1024   0.001810  0.001810  0.000002
..syncio/mixins.py:15 Event.__init__  2049   0.001719  0.001719  0.000001
..bootstrap_external>:1431 find_spec  17     0.000026  0.001719  0.000101
..bootstrap_external>:1399 _get_spec  17     0.000119  0.001692  0.000100
..g.py:230 _RoutingDelegate.__init__  1040   0.001607  0.001607  0.000002
..py:142 AsyncIOMainLoop.add_handler  17     0.000147  0.001588  0.000093
..ctors.py:273 EpollSelector.get_map  2050   0.001500  0.001500  0.000001
...10/asyncio/locks.py:183 Event.set  1024   0.001490  0.001490  0.000001
..o/iostream.py:1127 IOStream.fileno  2049   0.001488  0.001488  0.000001
.. DataReceiverHandler._break_cycles  1024   0.001475  0.001475  0.000001
..xternal>:1536 FileFinder.find_spec  32     0.000338  0.001466  0.000046
..ado/web.py:2089 Application.listen  1      0.000006  0.001460  0.001460
..tcpserver.py:143 HTTPServer.listen  1      0.000004  0.001425  0.001425
..y:584 ProcessPoolExecutor.__init__  2      0.000033  0.001414  0.000707
..TTP1ServerConnection.start_serving  16     0.000120  0.001407  0.000088
..:165 HTTP1Connection.read_response  1040   0.001384  0.001384  0.000001
..rver.py:154 HTTPServer.add_sockets  1      0.000004  0.001347  0.001347
../netutil.py:226 add_accept_handler  1      0.000005  0.001342  0.001342
..3.10/asyncio/tasks.py:581 __sleep0  1024   0.001330  0.001330  0.000001
..362 DataReceiverHandler.get_status  2048   0.001313  0.001313  0.000001
..:59 DataReceiverHandler.initialize  1025   0.001286  0.001286  0.000001
..0/asyncio/queues.py:48 Queue._init  1024   0.001143  0.001143  0.000001
..init__.py:1724 Logger.isEnabledFor  1024   0.001122  0.001130  0.000001
..rEventLoop._timer_handle_cancelled  1040   0.001124  0.001124  0.000001
..y:3329 _UIModuleNamespace.__init__  1025   0.001077  0.001077  0.000001
..175 AsyncIOMainLoop.remove_handler  15     0.000103  0.001021  0.000068
..m.py:949 IOStream._check_max_bytes  1025   0.001020  0.001020  0.000001
..o/iostream.py:652 IOStream.reading  1009   0.000951  0.000951  0.000001
..b._bootstrap>:564 module_from_spec  16     0.000052  0.000913  0.000057
..on3.10/socket.py:286 socket.accept  24     0.000226  0.000865  0.000036
..ap_external>:670 _compile_bytecode  13     0.000050  0.000830  0.000064
..kages/tornado/web.py:217 <genexpr>  1025   0.000819  0.000819  0.000001
..ges/tornado/web.py:2312 <listcomp>  1025   0.000808  0.000808  0.000001
..ges/tornado/web.py:1668 <listcomp>  1025   0.000777  0.000777  0.000001
..bootstrap_external>:126 _path_join  162    0.000271  0.000764  0.000005
..ages/tornado/web.py:1669 <genexpr>  1025   0.000762  0.000762  0.000001
..do/routing.py:513 AnyMatches.match  1025   0.000717  0.000717  0.000001
..eam.py:613 IOStream._signal_closed  15     0.000230  0.000711  0.000047
..py:274 DataReceiverHandler.prepare  1025   0.000684  0.000684  0.000001
..:290 DataReceiverHandler.on_finish  1024   0.000678  0.000678  0.000001
..eceiverHandler.set_default_headers  1025   0.000667  0.000667  0.000001
..ng/synchronize.py:50 Lock.__init__  10     0.000201  0.000632  0.000063
..ing/context.py:65 ForkContext.Lock  8      0.000034  0.000585  0.000073
.._bootstrap>:492 _init_module_attrs  16     0.000121  0.000577  0.000036
..process.py:163 _SafeQueue.__init__  2      0.000005  0.000538  0.000269
..g/queues.py:37 _SafeQueue.__init__  2      0.000018  0.000533  0.000267
..g/synchronize.py:161 Lock.__init__  8      0.000013  0.000531  0.000066
..ado/platform/asyncio.py:1 <module>  1      0.000019  0.000501  0.000501
..process.py:80 ForkProcess.__init__  11     0.000274  0.000477  0.000043
..rocess.py:532 _check_system_limits  2      0.000006  0.000475  0.000237
..ap_external>:380 cache_from_source  26     0.000132  0.000462  0.000018
..al>:1070 SourceFileLoader.get_data  24     0.000090  0.000455  0.000019
..._bootstrap>:1053 _handle_fromlist  10/9   0.000040  0.000439  0.000044
..iostream.py:1122 IOStream.__init__  16     0.000091  0.000424  0.000027
..bootstrap_external>:128 <listcomp>  162    0.000273  0.000416  0.000003
../lib/python3.10/lzma.py:1 <module>  1      0.000013  0.000395  0.000395
..r/lib/python3.10/bz2.py:1 <module>  1      0.000010  0.000385  0.000385
..lib/python3.10/typing.py:306 inner  13     0.000015  0.000364  0.000028
..es.py:161 _SafeQueue._start_thread  2      0.000076  0.000357  0.000179
..hon3.10/sre_compile.py:783 compile  2      0.000018  0.000336  0.000168
..iostream.py:1130 IOStream.close_fd  15     0.000043  0.000335  0.000022
..._bootstrap>:391 ModuleSpec.cached  29     0.000033  0.000330  0.000011
..sing/util.py:186 Finalize.__init__  15     0.000273  0.000328  0.000022
..sing/synchronize.py:114 _make_name  10     0.000023  0.000326  0.000033
../iostream.py:228 IOStream.__init__  16     0.000174  0.000308  0.000019
..ootstrap_external>:510 _get_cached  16     0.000034  0.000297  0.000019
..hon3.10/socket.py:498 socket.close  15     0.000051  0.000292  0.000019
..y:153 _RandomNameSequence.__next__  10     0.000034  0.000287  0.000029
..8 _SpecialGenericAlias.__getitem__  3      0.000015  0.000283  0.000094
..ext.py:110 ForkContext.SimpleQueue  2      0.000009  0.000282  0.000141
..71 _ExecutorManagerThread.__init__  2      0.000077  0.000274  0.000137
..queues.py:339 SimpleQueue.__init__  2      0.000007  0.000268  0.000134
..y:287 _HTTPRequestContext.__init__  16     0.000112  0.000261  0.000016
.. ExtensionFileLoader.create_module  3      0.000009  0.000258  0.000086
...py:404 AddThreadSelectorEventLoop  1      0.000008  0.000246  0.000246
..>:169 _ModuleLockManager.__enter__  17     0.000034  0.000241  0.000014
..0/socket.py:494 socket._real_close  15     0.000044  0.000241  0.000016
..o/web.py:2033 Application.__init__  1      0.000016  0.000237  0.000237
..bootstrap_external>:140 _path_stat  66     0.000071  0.000234  0.000004
..iprocessing/process.py:61 _cleanup  11     0.000075  0.000233  0.000021
..y:916 _ExecutorManagerThread.start  2      0.000045  0.000230  0.000115
..on3.10/threading.py:589 Event.wait  4      0.000027  0.000216  0.000054
..y:1921 _ApplicationRouter.__init__  2      0.000005  0.000206  0.000103
..py:412 _ApplicationRouter.__init__  2      0.000004  0.000200  0.000100
..27 _ExecutorManagerThread.__init__  2      0.000082  0.000197  0.000098
..py:303 _ApplicationRouter.__init__  2      0.000005  0.000196  0.000098
..y:334 _ApplicationRouter.add_rules  2      0.000012  0.000191  0.000096
..o/events.py:120 TimerHandle.__lt__  61     0.000136  0.000184  0.000003
..n3.10/random.py:506 Random.choices  10     0.000025  0.000181  0.000018
..016 _CallableGenericAlias.__init__  4      0.000029  0.000173  0.000043
../python3.10/sre_parse.py:944 parse  2      0.000014  0.000173  0.000086
..outing.py:555 PathMatches.__init__  1      0.000007  0.000162  0.000162
..xternal>:1531 FileFinder._get_spec  16     0.000037  0.000160  0.000010
..form/asyncio.py:77 BaseAsyncIOLoop  1      0.000013  0.000160  0.000160
..essing/popen_fork.py:24 Popen.poll  55     0.000098  0.000158  0.000003
..gging/__init__.py:228 _releaseLock  12     0.000122  0.000156  0.000013
..ython3.10/random.py:519 <listcomp>  10     0.000085  0.000151  0.000015
..3.10/threading.py:916 Thread.start  2      0.000020  0.000150  0.000075
..ootstrap_external>:132 _path_split  26     0.000048  0.000144  0.000006
..on3.10/sre_parse.py:436 _parse_sub  2      0.000012  0.000142  0.000071
..b._bootstrap>:179 _get_module_lock  17     0.000070  0.000141  0.000008
..thon3.10/typing.py:146 _type_check  5      0.000029  0.000135  0.000027
..ython3.10/sre_compile.py:622 _code  2      0.000007  0.000133  0.000067
..ython3.10/typing.py:1143 <genexpr>  7      0.000006  0.000133  0.000019
..thon3.10/socket.py:520 socket.type  16     0.000045  0.000133  0.000008
..py:85 ForkContext.BoundedSemaphore  2      0.000009  0.000130  0.000065
..147 _SpecialGenericAlias.copy_with  3      0.000006  0.000129  0.000043
..ing/util.py:433 _flush_std_streams  11     0.000086  0.000124  0.000011
..python3.10/sre_parse.py:494 _parse  2      0.000051  0.000123  0.000061
..ges/tornado/ioloop.py:688 <lambda>  15     0.000043  0.000122  0.000008
..on3.10/functools.py:774 _find_impl  2      0.000012  0.000121  0.000060
..e.py:144 BoundedSemaphore.__init__  2      0.000003  0.000116  0.000058
..ernal>:721 spec_from_file_location  16     0.000061  0.000112  0.000007
..otstrap_external>:159 _path_isfile  19     0.000023  0.000112  0.000006
..ocessing/synchronize.py:1 <module>  1      0.000018  0.000109  0.000109
.. _CallableGenericAlias.__setattr__  32     0.000043  0.000106  0.000003
..3.10/functools.py:732 _compose_mro  2      0.000016  0.000106  0.000053
..b._bootstrap>:244 _verbose_message  179    0.000103  0.000103  0.000001
..ections/__init__.py:328 namedtuple  1      0.000047  0.000103  0.000103
..ng/util.py:171 register_after_fork  12     0.000029  0.000101  0.000008
..p>:897 _ImportLockContext.__exit__  68     0.000069  0.000101  0.000001
..>:893 _ImportLockContext.__enter__  68     0.000068  0.000097  0.000001
..p_external>:150 _path_is_mode_type  20     0.000026  0.000093  0.000005
...py:1194 _CallableType.__getitem__  5      0.000015  0.000093  0.000019
...py:663 AsyncIOMainLoop.add_future  16     0.000061  0.000090  0.000006
..ckages/tornado/util.py:271 __new__  2      0.000015  0.000089  0.000045
..p>:173 _ModuleLockManager.__exit__  17     0.000022  0.000088  0.000005
..pserver.py:244 HTTPServer.on_close  15     0.000058  0.000087  0.000006
..multiprocessing/util.py:1 <module>  1      0.000016  0.000084  0.000084
..ython3.10/functools.py:687 _c3_mro  4/2    0.000034  0.000083  0.000021
..:733 AsyncIOMainLoop._run_callback  16     0.000037  0.000083  0.000005
..on3.10/typing.py:137 _type_convert  5      0.000010  0.000080  0.000016
..tstrap_external>:585 _classify_pyc  13     0.000036  0.000080  0.000006
..0/threading.py:827 Thread.__init__  2      0.000038  0.000079  0.000039
..y:89 DistutilsMetaFinder.find_spec  17     0.000043  0.000078  0.000005
..10/threading.py:545 Event.__init__  4      0.000031  0.000076  0.000019
..3.10/socket.py:220 socket.__init__  17     0.000074  0.000074  0.000004
..tornado/netutil.py:55 bind_sockets  1      0.000017  0.000074  0.000074
..xternal>:1356 _path_importer_cache  41     0.000030  0.000073  0.000002
..g/process.py:234 ForkProcess.ident  11     0.000055  0.000072  0.000007
../typing.py:664 ForwardRef.__init__  2      0.000006  0.000068  0.000034
..0/sre_compile.py:560 _compile_info  2      0.000024  0.000067  0.000034
..947 _CallableGenericAlias.__init__  4      0.000012  0.000067  0.000017
<frozen importlib._bootstrap>:198 cb  17     0.000043  0.000067  0.000004
..bootstrap>:125 _ModuleLock.release  17     0.000049  0.000066  0.000004
..ile.py:142 _RandomNameSequence.rng  10     0.000033  0.000066  0.000007
..bootstrap>:100 _ModuleLock.acquire  17     0.000050  0.000066  0.000004
..o/httputil.py:66 _normalize_header  12     0.000027  0.000066  0.000005
..08 _CallableType.__getitem_inner__  1      0.000003  0.000065  0.000065
..ltiprocessing/queues.py:1 <module>  1      0.000016  0.000063  0.000063
..ython3.10/typing.py:935 _is_dunder  32     0.000039  0.000063  0.000002
..65 WeakValueDictionary.__setitem__  12     0.000027  0.000061  0.000005
..>:1089 SourceFileLoader.path_stats  13     0.000018  0.000061  0.000005
..hon3.10/sre_compile.py:87 _compile  4/2    0.000030  0.000059  0.000015
..iprocessing/connection.py:521 Pipe  6      0.000027  0.000056  0.000009
.._bootstrap_external>:134 <genexpr>  52     0.000041  0.000055  0.000001
..ng.py:1188 _CallableType.copy_with  1      0.000005  0.000054  0.000054
..bootstrap>:71 _ModuleLock.__init__  17     0.000037  0.000054  0.000003
..82 ExtensionFileLoader.exec_module  3      0.000007  0.000053  0.000018
...py:278 AsyncIOMainLoop.initialize  1      0.000004  0.000051  0.000051
..mpfile.py:661 SpooledTemporaryFile  1      0.000049  0.000049  0.000049
..tstrap_external>:84 _unpack_uint32  17     0.000032  0.000047  0.000003
../lib/python3.10/abc.py:105 __new__  2      0.000008  0.000047  0.000023
..o.py:78 AsyncIOMainLoop.initialize  1      0.000009  0.000046  0.000046
..do/http1connection.py:813 <lambda>  15     0.000031  0.000044  0.000003
..otstrap_external>:1343 _path_hooks  1      0.000006  0.000043  0.000043
..ocess.py:67 _ThreadWakeup.__init__  2      0.000005  0.000042  0.000021
..m.py:98 StreamClosedError.__init__  15     0.000041  0.000041  0.000003
..ernal>:618 _validate_timestamp_pyc  2      0.000029  0.000039  0.000019
..on3.10/functools.py:725 <listcomp>  4/2    0.000008  0.000038  0.000010
..ream.py:124 _StreamBuffer.__init__  16     0.000037  0.000037  0.000002
../context.py:60 DefaultContext.Pipe  2      0.000006  0.000036  0.000018
..thon3.10/socket.py:938 getaddrinfo  1      0.000005  0.000036  0.000036
